title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description,title_clean,author_clean,summary_gpt,themes,tone,age_range,needs_fix
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew,The Magician's Nephew,C.S. Lewis,https://covers.openlibrary.org/b/id/1072931-L.jpg,https://openlibrary.org/works/OL71042W,"Digory let out a scream. “What's happened to Polly?” “Congratulate me, my dear boy,” said Uncle Andrew, rubbing his hands. “My experiment has succeeded. The little girl's gone – vanished – right out of this world.” When Digory and Polly discover Uncle Andrew's secret workshop, they are tricked into touching some magic rings that take them right out of this world. But even Uncle Andrew doesn't realise the wonders that lie ahead as they discover the gateway to the magical land of Narnia, where many thrilling adventures await them.","The Magician’S Nephew (Chronicles Of Narnia, #6)",C.S. Lewis,Two children are transported to a magical land called Narnia after a visit to their uncle's secret workshop. They embark on thrilling adventures filled with wonder and excitement.,"magic, adventure, discovery",adventurous,8-12,False
The Witch of Blackbird Pond,Elizabeth George Speare,https://www.goodreads.com/book/show/703292.The_Witch_of_Blackbird_Pond,The Witch of Blackbird Pond,Elizabeth George Speare,https://covers.openlibrary.org/b/id/4904594-L.jpg,https://openlibrary.org/works/OL4783032W,"Orphaned Kit Tyler knows, as she gazes for the first time at the cold, bleak shores of Connecticut Colony, that her new home will never be like the shimmering Caribbean island she left behind. In her relatives' stern Puritan community, she feels like a tropical bird that has flown to the wrong part of the world, a bird that is now caged and lonely. The only place where Kit feels completely free is in the meadows, where she enjoys the company of the old Quaker woman known as the Witch of Blackbird Pond, and on occasion, her young sailor friend Nat. But when Kit's friendship with the ""witch"" is discovered, Kit is faced with suspicion, fear, and anger. She herself is accused of witchcraft!",The Witch Of Blackbird Pond,Elizabeth George Speare,"An orphaned girl moves to a Puritan community in Connecticut Colony, feeling out of place and finding solace in nature and new friendships. However, when her friendship with a perceived 'witch' is revealed, she faces suspicion and accusations of witchcraft.","belonging, friendship, prejudice, courage",emotional,9-12,False
Owl Moon,Jane Yolen,https://www.goodreads.com/book/show/228696.Owl_Moon,Owl Moon,Jane Yolen,https://covers.openlibrary.org/b/id/259420-L.jpg,https://openlibrary.org/works/OL97376W,"On a winter's night under a full moon, a father and daughter trek into the woods to see the Great Horned Owl.",Owl Moon,Jane Yolen,A father and daughter go on a nighttime adventure in the woods to see the Great Horned Owl.,"nature, family, curiosity",calm,3-5,False
Sadako and the Thousand Paper Cranes,Eleanor Coerr,https://www.goodreads.com/book/show/181077.Sadako_and_the_Thousand_Paper_Cranes,Sadako and the Thousand Paper Cranes,Eleanor Coerr,https://covers.openlibrary.org/b/id/10870775-L.jpg,https://openlibrary.org/works/OL3506116W,"Hiroshima-born Sadako is lively and athletic--the star of her school's running team. And then the dizzy spells start. Soon gravely ill with leukemia, the ""atom bomb disease,"" Sadako faces her future with spirit and bravery. Recalling a Japanese legend, Sadako sets to work folding paper cranes. For the legend holds that if a sick person folds one thousand cranes, the gods will grant her wish and make her healthy again. Based on a true story, *Sadako and the Thousand Paper Cranes* celebrates the extraordinary courage that made one young woman a heroine in Japan",Sadako And The Thousand Paper Cranes,Eleanor Coerr,"A young girl in Japan, Sadako, is diagnosed with leukemia due to radiation from the atomic bomb. She bravely faces her illness cranes in hopes of a miracle. Based on a true story, this book celebrates Sadako's courage and resilience.","courage, hope, illness, tradition",inspirational,9-12,False
Real Friends (Real Friends #1),Shannon Hale,https://www.goodreads.com/book/show/31145178-real-friends,Real Friends,Shannon Hale,https://covers.openlibrary.org/b/id/9322318-L.jpg,https://openlibrary.org/works/OL17812652W,"Newbery Honor author Shannon Hale and New York Times bestselling illustrator LeUyen Pham join forces in this graphic memoir about how hard it is to find your real friends―and why it's worth the journey.

Shannon and Adrienne have been best friends ever since they were little. But one day, Adrienne starts hanging out with Jen, the most popular girl in class and the leader of a circle of friends called The Group. Everyone in The Group wants to be Jen's #1, and some girls would do anything to stay on top . . . even if it means bullying others.

Now every day is like a roller coaster for Shannon. Will she and Adrienne stay friends? Can she stand up for herself? And is she in The Group―or out?",Real Friends (Real Friends #1),Shannon Hale,"Two best friends, Shannon and Adrienne, face challenges when Adrienne starts hanging out with the popular girl at school, Jen, and her group of friends. Shannon must navigate the complexities of friendship, bullying, and staying true to herself.","friendship, bullying, self-identity, peer pressure",realistic,9-12,False
Five Little Monkeys Jumping on the Bed,Eileen Christelow,https://www.goodreads.com/book/show/1767779.Five_Little_Monkeys_Jumping_on_the_Bed,Five Little Monkeys Jumping on the Bed,Eileen Christelow,https://covers.openlibrary.org/b/id/5547929-L.jpg,https://openlibrary.org/works/OL79819W,A counting book in which one by one the little monkeys jump on the bed only to fall off and bump their heads.,Five Little Monkeys Jumping On The Bed,Eileen Christelow,"A counting book where little monkeys jump on the bed and fall off, bumping their heads.","counting, silliness, consequences",playful,3-5,False
"The Adventures of Captain Underpants (Captain Underpants, #1)",Dav Pilkey,https://www.goodreads.com/book/show/207266.The_Adventures_of_Captain_Underpants,The Adventures of Captain Underpants,Dav Pilkey,https://covers.openlibrary.org/b/id/12625278-L.jpg,https://openlibrary.org/works/OL14871228W,"When George and Harold hypnotize their principal into thinking that he is the superhero Captain Underpants, he leads them to the lair of the nefarious Dr. Diaper, where they must defeat his evil robot henchmen.","The Adventures Of Captain Underpants (Captain Underpants, #1)",Dav Pilkey,Two mischievous boys hypnotize their principal into becoming a superhero and must defeat an evil villain and his robot henchmen.,"imagination, friendship, humor, good vs. evil",humorous,7-10,False
Little Red Riding Hood,Trina Schart Hyman,https://www.goodreads.com/book/show/920143.Little_Red_Riding_Hood,Little Red Riding Hood,Trina Schart Hyman,https://covers.openlibrary.org/b/id/625080-L.jpg,https://openlibrary.org/works/OL4134429W,"On her way to deliver a basket of food to her sick grandmother, Elisabeth encounters a sly wolf.",Little Red Riding Hood,Trina Schart Hyman,A young girl named Elisabeth faces a dangerous encounter with a wolf on her way to her grandmother's house.,"bravery, danger, family, trust",suspenseful,6-8,False
"Frog and Toad All Year (Frog and Toad, #3)",Arnold Lobel,https://www.goodreads.com/book/show/833549.Frog_and_Toad_All_Year,Frog and Toad All Year,Arnold Lobel,https://covers.openlibrary.org/b/id/11305216-L.jpg,https://openlibrary.org/works/OL1973442W,"Frog and Toad All Year is an American picture book written and illustrated by Arnold Lobel, published by Harper & Row in 1976. It is the third book in the Frog and Toad series, whose four books completed by Lobel comprise five easy-to-read short stories each.

----------
Also contained in:
[The Frog and Toad Treasury](https://openlibrary.org/works/OL1973505W)","Frog And Toad All Year (Frog And Toad, #3)",Arnold Lobel,"A collection of short stories featuring the adventures of two friends, Frog and Toad, throughout the seasons of the year.","friendship, nature, seasons",wholesome,4-8,False
A Child's Garden of Verses,Robert Louis Stevenson,https://www.goodreads.com/book/show/20413.A_Child_s_Garden_of_Verses,A  child's garden of verses,Robert Louis Stevenson,https://covers.openlibrary.org/b/id/8777530-L.jpg,https://openlibrary.org/works/OL24165W,"Rediscover the delight and innocence of childhood in these classic poems from celebrated author, Robert Louis Stevenson. From make-believe to climbing trees, bedtime stories to morning play and favourite cousins to beloved mothers. Here is a very special collection to be treasured forever.",A Child'S Garden Of Verses,Robert Louis Stevenson,A collection of The poems cover a range of topics from make-believe to family relationships.,"childhood, imagination, family, innocence",nostalgic,5-8,False
"Mama, Do You Love Me?",Barbara M. Joosse,https://www.goodreads.com/book/show/730424.Mama_Do_You_Love_Me_,"Mama, do you love me?",Barbara M. Joosse,https://covers.openlibrary.org/b/id/1535859-L.jpg,https://openlibrary.org/works/OL547320W,A child living in the Arctic learns that a mother's love is unconditional.,"Mama, Do You Love Me?",Barbara M. Joosse,A child living in the Arctic learns about the unconditional love of a mother.,"love, family, Arctic, unconditional",heartwarming,3-5,False
"The Long Winter (Little House, #6)",Laura Ingalls Wilder,https://www.goodreads.com/book/show/8282.The_Long_Winter,The Long Winter,Laura Ingalls Wilder,https://covers.openlibrary.org/b/id/4967658-L.jpg,https://openlibrary.org/works/OL1719759W,"After an October blizzard, Laura's family moves from the claim shanty into town for the winter, a winter that an Indian has predicted will be seven months of bad weather.","The Long Winter (Little House, #6)",Laura Ingalls Wilder,Laura's family moves from their claim shanty into town for the winter after an October blizzard. The winter ahead is predicted to be seven months of bad weather .,"family, resilience, weather",adventurous,8-10,False
"Wayside School Is Falling Down (Wayside School, #2)",Louis Sachar,https://www.goodreads.com/book/show/10065.Wayside_School_Is_Falling_Down,Wayside School is Falling Down (Wayside School #2),Louis Sachar,https://covers.openlibrary.org/b/id/430413-L.jpg,https://openlibrary.org/works/OL116265W,"*""Watch Closely,"" said Mrs. Jewls.  ""You can learn much faster using a computer instead of paper and pencil.""  Then she pushed the new computer out the window.  The children watched it fall thirty floors and smash against the sidewalk.  ""See?"" said Mrs. Jewls.  ""That's gravity! I've been trying to teach you about gravity, but the computer showed you a lot quicker!""*

That's the way things happen at Wayside School. There are 29 kids in Mrs. Jewls's class and this book is about all of them. There is Todd, who got in trouble every day...until he got a magic dog; Paul, whose life was saved by Leslie's pigtails; Ron, who dared to try the cafeteria's Mushroom Surprise--and all the others who helped turn a day at Wayside school into one madcap adventure after another. But, after the things that happened in *Sideways Stories from Wayside School*, what would you expect?","Wayside School Is Falling Down (Wayside School, #2)",Louis Sachar,"A collection of madcap adventures at Wayside School featuring 29 kids in Mrs. Jewls's class. From magic dogs to Mushroom Surprise, each day brings a new and unexpected twist.","friendship, imagination, humor",whimsical,8-12,False
"Inside the Human Body (The Magic School Bus, #3)",Joanna Cole,https://www.goodreads.com/book/show/722864.Inside_the_Human_Body,The Magic School Bus Inside the Human Body,Joanna Cole,https://covers.openlibrary.org/b/id/10309974-L.jpg,https://openlibrary.org/works/OL83042W,"Talk about a change of plans! Ms. Frizzle and her class are on the Magic School Bus headed for a museum. They have been studying how the body turns food into energy, and now they are going to see an exhibit on the human body. Things seem fine until they stop for lunch. A strange mishap causes the bus to shrink and then be swallowed! Ms. Frizzle's class is suddenly inside a real human body","Inside The Human Body (The Magic School Bus, #3)",Joanna Cole,"Ms. Frizzle and her class take a field trip to a museum to learn about the human body, but end up getting shrunk and swallowed by a real human body.","science, exploration, adventure, learning",whimsical,6-8,False
The Westing Game,Ellen Raskin,https://www.goodreads.com/book/show/902.The_Westing_Game,The Westing Game,Ellen Raskin,https://covers.openlibrary.org/b/id/6973801-L.jpg,https://openlibrary.org/works/OL4103857W,"Sixteen people were invited to the reading of the very strange will of the very rich Samuel W. Westing. They could become millionaires, depending on how they played the game. The not-quite-perfect heirs were paired, and each pair was given $10,000 and a set of clues (no two sets of clues were alike). All they had to do was find the answer, but the answer to what? The Westing game was tricky and dangerous, but the heirs played on, through blizzards and burglaries and bombs bursting in air. And one of them won! With her own special blend of intricacy, humor, and upside-down perceptions, Ellen Raskin has entangled a remarkable cast of characters in a puzzle-knotted, word-twisting plot. She then deftly unravels it again in a surprising (but fair) and highly satisfying ending. - Back cover.

The mysterious death of an eccentric millionaire brings together an unlikely assortment of heirs who must uncover the circumstances of his death before they can claim their inheritance.",The Westing Game,Ellen Raskin,Sixteen people are invited to the reading of a strange will that could make them millionaires if they play a game to find the answer to a mysterious puzzle. The heirs face challenges and danger as they unravel the clues to win the game and claim their inheritance.,"mystery, inheritance, puzzle-solving, competition",mysterious,10-12,False
Just So Stories,Rudyard Kipling,https://www.goodreads.com/book/show/34053.Just_So_Stories,Just So Stories,Rudyard Kipling,https://covers.openlibrary.org/b/id/36215-L.jpg,https://openlibrary.org/works/OL19899W,"Seven tales that explain special things about animals, such as how the whale got his tiny throat, the camel his hump and the leopard his spots.",Just So Stories,Rudyard Kipling,A collection of seven short stories that explore unique aspects of various animals.,"nature, curiosity, uniqueness",educational,6-8,False
Swimmy,Leo Lionni,https://www.goodreads.com/book/show/114308.Swimmy,Swimmy,Leo Lionni,https://covers.openlibrary.org/b/id/5017594-L.jpg,https://openlibrary.org/works/OL2162545W,"(Age 3-7) (Pre-K to 2) **''A little black fish in a school of red fish figures out a way of protecting them all from their natural enemies.''**

Deep in the sea there lives a happy school of little fish. Their watery world is full of wonders, but there is also danger, and the little fish are afraid to come out of hiding . . . until Swimmy comes along. **Swimmy shows his friends how—with ingenuity and team work—they can overcome any danger.** With its graceful text and stunning artwork, this **Caldecott Honor Book** deserves a place on every child’s shelf.",Swimmy,Leo Lionni,A little black fish in a school of red fish helps protect them from their natural enemies. Swimmy shows his friends how they can overcome any danger with ingenuity and teamwork.,"teamwork, bravery, friendship",uplifting,3-7,False
"The Teacher from the Black Lagoon (Black Lagoon, #1)",Mike Thaler,https://www.goodreads.com/book/show/948638.The_Teacher_from_the_Black_Lagoon,The Teacher from the Black Lagoon,Mike Thaler,https://covers.openlibrary.org/b/id/383733-L.jpg,https://openlibrary.org/works/OL79555W,"On the first day of school, a young boy expects only the worst when he discovers that his new teacher is the ""monstrous"" Mrs. Green.","The Teacher From The Black Lagoon (Black Lagoon, #1)",Mike Thaler,"A young boy dreads his first day of school when he learns he has a 'monstrous' teacher, Mrs. Green.","fear, school, friendship",anxious,5-8,False
The Snowman,Raymond Briggs,https://www.goodreads.com/book/show/489972.The_Snowman,The snowman,Raymond Briggs,https://covers.openlibrary.org/b/id/458091-L.jpg,https://openlibrary.org/works/OL15845200W,"When his snowman comes to life, a little boy invites him home and in return is taken on a flight high above the countryside.",The Snowman,Raymond Briggs,A little boy's snowman comes to life and takes him on a magical flight above the countryside.,"imagination, friendship, adventure",magical,3-5,False
The Trumpet of the Swan,E.B. White,https://www.goodreads.com/book/show/24335.The_Trumpet_of_the_Swan,The Trumpet of the Swan,E. B. White,https://covers.openlibrary.org/b/id/50627-L.jpg,https://openlibrary.org/works/OL483387W,"Louis, a romantic swan, is in love with the angelic Serena, but he can't tell her how he feels; he has no voice. When he meets eleven-year-old Sam Beaver, a human friend, he goes to school with him to learn how to read and write. Louis' father also helps out; he steals a brass trumpet for his son. In the end, Louis learns to play, wins Serena's heart, and repays the music shop owner for his stolen trumpet. 

Here is a wonderful story of romance, friendship, and determination among animals and humans.",The Trumpet Of The Swan,E.B. White,"A Themes of romance, friendship, and determination are beautifully intertwined in this tale.","romance, friendship, determination",heartwarming,6-8,False
Bear Snores On,Karma Wilson,https://www.goodreads.com/book/show/867248.Bear_Snores_On,Bear snores on,Karma Wilson,https://covers.openlibrary.org/b/id/760640-L.jpg,https://openlibrary.org/works/OL5706313W,"On a cold winter night many animals gather to party in the cave of a sleeping bear, who then awakes and protests that he has missed the food and the fun.",Bear Snores On,Karma Wilson,"Animals gather for a party in a bear's cave on a cold winter night, but the bear wakes up and realizes he missed out on the food and fun.","friendship, inclusion, sharing",whimsical,3-5,False
"The House at Pooh Corner (Winnie-the-Pooh, #2)",A.A. Milne,https://www.goodreads.com/book/show/776407.The_House_at_Pooh_Corner,The House at Pooh Corner,A. A. Milne,https://covers.openlibrary.org/b/id/8743133-L.jpg,https://openlibrary.org/works/OL476471W,"Ten adventures of Pooh, Eeyore, Tigger, Piglet, Owl, and other friends of Christopher Robin.


----------
Contains:
In Which [a House Is Built at Pooh Corner for Eeyore][1]
In Which [Tigger Comes to the Forest and Has Breakfast][2]
In Which [a Search Is Organdized, and Piglet Nearly Meets the Heffalump Again][3]
In Which It Is Shown That [Tiggers Don't Climb Trees][4]
In Which [Rabbit Has a Busy Day, and We Learn What Christopher Robin Does in the Mornings][5]
In Which [Pooh Invents a New Game and Eeyore Joins In][6]
In Which [Tigger Is Unbounced][7]
In Which [Piglet Does a Very Grand Thing][8]
In Which [Eeyore Finds the Wolery][9] and Owl Moves Into It
In Which [Christopher Robin and Pooh Come to an Enchanted Place][10], and We Leave Them There

----------
Also Contained in:

 - [Winnie-the-Pooh / The House at Pooh Corner][11]


  [1]: https://openlibrary.org/works/OL7988325W/A_House_Is_Built_at_Pooh_Corner_for_Eeyore
  [2]: https://openlibrary.org/works/OL476759W/Tigger_Comes_to_the_Forest_and_Has_Breakfast
  [3]: https://openlibrary.org/works/OL476810W/A_Search_Is_Organdized
  [4]: https://openlibrary.org/works/OL476761W/Tiggers_don't_climb_trees
  [5]: https://openlibrary.org/works/OL7988389W/Rabbit_Has_a_Busy_Day_and_We_Learn_What_Christopher_Robin_Does_in_the_Mornings
  [6]: https://openlibrary.org/works/OL476832W/Pooh_Invents_a_New_Game_and_Eeyore_Joins_In
  [7]: https://openlibrary.org/works/OL476817W/Tigger_Is_Unbounced
  [8]: https://openlibrary.org/works/OL476828W/Piglet_Does_a_Very_Grand_Thing
  [9]: https://openlibrary.org/works/OL476738W/Eeyore_Finds_the_Wolery
  [10]: https://openlibrary.org/works/OL15020356W/Christopher_Robin_and_Pooh_Come_to_an_Enchanted_Place
  [11]: https://openlibrary.org/works/OL476836W/Winnie-the-Pooh_The_House_at_Pooh_Corner","The House At Pooh Corner (Winnie-The-Pooh, #2)",A.A. Milne,"A collection of ten delightful adventures featuring Pooh, Eeyore, Tigger, Piglet, Owl, and other friends of Christopher Robin.","friendship, imagination, adventure",whimsical,3-5,False
The Complete Adventures of Curious George,Margret Rey,https://www.goodreads.com/book/show/808853.The_Complete_Adventures_of_Curious_George,The complete adventures of Curious George,Margret Rey,https://covers.openlibrary.org/b/id/393639-L.jpg,https://openlibrary.org/works/OL536444W,The adventures of the ingenious little monkey who left the jungle to live with the man in the yellow hat.,The Complete Adventures Of Curious George,Margret Rey,"A curious little monkey leaves the jungle to live with a man in a yellow hat, leading to a series of adventures.","curiosity, friendship, exploration",whimsical,3-5,False
The Twits,Roald Dahl,https://www.goodreads.com/book/show/31456.The_Twits,The Twits,Roald Dahl,https://covers.openlibrary.org/b/id/14838233-L.jpg,https://openlibrary.org/works/OL45884W,The misadventures of two terrible old people who enjoy playing nasty tricks and are finally outwitted by a family of monkeys.,The Twits,Roald Dahl,A story about two mischievous old people who like to play mean tricks but are ultimately outsmarted by a family of monkeys.,"mischievousness, trickery, friendship",humorous,6-8,False
King Bidgood's in the Bathtub,Audrey Wood,https://www.goodreads.com/book/show/176626.King_Bidgood_s_in_the_Bathtub,King Bidgood's in the bathtub,Audrey Wood,https://covers.openlibrary.org/b/id/114379-L.jpg,https://openlibrary.org/works/OL547443W,"Despite pleas from his court, a fun-loving king refuses to get out of his bathtub to rule his kingdom.",King Bidgood'S In The Bathtub,Audrey Wood,"A whimsical story about a king who enjoys staying in his bathtub instead of ruling his kingdom, much to the dismay of his court.","responsibility, playfulness, authority",whimsical,3-5,False
Animalia,Graeme Base,https://www.goodreads.com/book/show/682751.Animalia,Animalia,Graeme Base,https://covers.openlibrary.org/b/id/401233-L.jpg,https://openlibrary.org/works/OL14047W,"An alphabet book with fantastic and detailed pictures, bearing such labels as ""Lazy lions lounging in the local library.""",Animalia,Graeme Base,An alphabet book with detailed illustrations featuring whimsical scenes like lazy lions in a library.,"alphabet, imagination, animals",whimsical,3-5,False
Owl Babies,Martin Waddell,https://www.goodreads.com/book/show/716944.Owl_Babies,Owl Babies,Martin Waddell,https://covers.openlibrary.org/b/id/799318-L.jpg,https://openlibrary.org/works/OL114136W,Three owl babies whose mother has gone out in the night try to stay calm while she is gone.,Owl Babies,Martin Waddell,Three owl babies must cope with their mother being gone for the night.,"separation, anxiety, family",comforting,3-5,False
Each Peach Pear Plum,Janet Ahlberg,https://www.goodreads.com/book/show/833550.Each_Peach_Pear_Plum,Each Peach Pear Plum,Janet Ahlberg,https://covers.openlibrary.org/b/id/5375131-L.jpg,https://openlibrary.org/works/OL807816W,"Rhymed text and illustrations invite the reader to play ""I Spy"" with a variety of Mother Goose and other folklore characters",Each Peach Pear Plum,Janet Ahlberg,A rhyming picture book invites children to play 'I Spy' with familiar Mother Goose and folklore characters.,"imagination, observation, nursery rhymes",playful,3-5,False
"Hand, Hand, Fingers, Thumb (Bright & Early Board Books)",Al Perkins,https://www.goodreads.com/book/show/857501.Hand_Hand_Fingers_Thumb,"Hand, hand, fingers, thumb",Al Perkins,https://covers.openlibrary.org/b/id/145-L.jpg,https://openlibrary.org/works/OL5966462W,"Easy-to-read rhyming text describes what can be done on a drum with hand, fingers, and thumb.","Hand, Hand, Fingers, Thumb (Bright & Early Board Books)",Al Perkins,"A rhyming book that explores the different sounds and actions that can be made on a drum using hands, fingers, and thumbs.","music, creativity, rhythm",playful,3-5,False
Jamberry,Bruce Degen,https://www.goodreads.com/book/show/886512.Jamberry,Jamberry,Bruce Degen,https://covers.openlibrary.org/b/id/445220-L.jpg,https://openlibrary.org/works/OL1997026W,A little boy walking in the forest meets a big lovable bear that takes him on a delicious berry-picking adventure in the magical world of Berryland,Jamberry,Bruce Degen,A little boy goes on a berry-picking adventure with a friendly bear in the magical world of Berryland.,"friendship, adventure, imagination",whimsical,3-5,False
Johnny Tremain,Esther Forbes,https://www.goodreads.com/book/show/816870.Johnny_Tremain,Johnny Tremain,Esther Forbes,https://covers.openlibrary.org/b/id/282869-L.jpg,https://openlibrary.org/works/OL2291764W,"Johnny Tremain, a young apprentice silversmith, is caught up in the danger and excitement of 1775 Boston, just before the Revolutionary War. But even more gripping than living through the drama of Revolutionary Boston is the important discovery Johnny makes in his own life.",Johnny Tremain,Esther Forbes,A young apprentice silversmith in 1775 Boston gets caught up in the excitement of the Revolutionary War and makes a significant personal discovery.,"revolutionary war, self-discovery, danger, excitement",adventurous,8-12,False
"Lyle, Lyle, Crocodile",Bernard Waber,https://www.goodreads.com/book/show/372638.Lyle_Lyle_Crocodile,"Lyle, Lyle, Crocodile",Bernard Waber,https://covers.openlibrary.org/b/id/11274928-L.jpg,https://openlibrary.org/works/OL1503162W,"Lyle, Lyle Crocodile is a children's book written by Bernard Waber first published in 1965. It is the sequel to The House on East 88th Street, published in 1962.

The book is the second in the Lyle the Crocodile series. The fictional series follows the life of Lyle, a city-dwelling crocodile who lives in a Victorian brownstone with a family named the Primms.

The story begins with Lyle and Mrs. Primm going shopping and running into their neighbor, Mr. Grumps. The grouchy Mr. Grumps finds Lyle a nuisance because Lyle scares his cat, Loretta, and he has him thrown in the zoo. When Lyle is freed by his old performing partner Mr. Valenti, they go back to the house on 88th Street, where they find Mr. Grumps' house on fire. Lyle rescues Mr. Grumps, is declared a hero, and thus is allowed to stay with the Primms.","Lyle, Lyle, Crocodile",Bernard Waber,"A story about Lyle the Crocodile, who lives with the Primms in a Victorian brownstone. When Lyle is thrown in the zoo by a neighbor, he must prove himself a hero to return home.","friendship, courage, acceptance, heroism",heartwarming,4-8,False
"My Father's Dragon (My Father's Dragon, #1)",Ruth Stiles Gannett,https://www.goodreads.com/book/show/34898.My_Father_s_Dragon,My father's dragon,Ruth Stiles Gannett,https://covers.openlibrary.org/b/id/255052-L.jpg,https://openlibrary.org/works/OL2688555W,"A young boy runs away from home to rescue an abused baby dragon held captive to serve as a free twenty-four hour, seven-days-a-week ferry for the lazy wild animals living on Wild Island.","My Father'S Dragon (My Father'S Dragon, #1)",Ruth Stiles Gannett,A young boy embarks on a rescue mission to save a baby dragon from captivity on Wild Island.,"friendship, bravery, rescue, adventure",adventurous,6-8,False
The Jungle Books,Rudyard Kipling,https://www.goodreads.com/book/show/41684.The_Jungle_Books,The Jungle Book,Rudyard Kipling,https://covers.openlibrary.org/b/id/3344204-L.jpg,https://openlibrary.org/works/OL19870W,"The adventures of Mowgli, a man-child raised by wolves in the jungle, have captured the imaginations not just of children, but of all readers, for generations.",The Jungle Books,Rudyard Kipling,A man-child raised the jungle embarks on captivating adventures.,"friendship, nature, identity",adventurous,8-12,False
"Days with Frog and Toad (Frog and Toad, #4)",Arnold Lobel,https://www.goodreads.com/book/show/94804.Days_with_Frog_and_Toad,Days With Frog and Toad,Arnold Lobel,https://covers.openlibrary.org/b/id/10200227-L.jpg,https://openlibrary.org/works/OL1973387W,"Good friends like Frog and Toad enjoy spending their days together. They fly kites, celebrate Toad's birthday, and share the shivers when one of them tells a scary story. Here are five funny stories that celebrate friendship all day, every day.","Days With Frog And Toad (Frog And Toad, #4)",Arnold Lobel,"A collection of five funny stories about the adventures of good friends Frog and Toad as they spend time together flying kites, celebrating birthdays, and sharing spooky tales.","friendship, adventure, sharing, fun",whimsical,4-8,False
The Very Busy Spider,Eric Carle,https://www.goodreads.com/book/show/556511.The_Very_Busy_Spider,The Very Busy Spider,Eric Carle,https://covers.openlibrary.org/b/id/1199659-L.jpg,https://openlibrary.org/works/OL52975W,"The farm animals try to divert a busy little spider from spinning her web, but she persists and produces a thing of both beauty and usefulness. The pictures may be felt as well as seen.",The Very Busy Spider,Eric Carle,A story about a persistent spider on a farm who creates a beautiful and useful web despite distractions from other animals.,"persistence, creativity, teamwork",determined,3-5,False
Aesop’s Fables,Aesop,https://www.goodreads.com/book/show/21348.Aesop_s_Fables,Aesop's Fables,Aesop,https://covers.openlibrary.org/b/id/3043711-L.jpg,https://openlibrary.org/works/OL12129731W,"Aesop fables are a collection of fables credited to Aesop, a slave and story-teller believed to have lived in ancient Greece between 620 and 560 BCE.",Aesop’S Fables,Aesop,"A collection of fables attributed to , a slave and storyteller from ancient Greece.","morality, wisdom, animals",educational,6-8,False
"Ramona Quimby, Age 8 (Ramona, #6)",Beverly Cleary,https://www.goodreads.com/book/show/91253.Ramona_Quimby_Age_8,"Ramona Quimby, Age 8",Beverly Cleary,https://covers.openlibrary.org/b/id/15064600-L.jpg,https://openlibrary.org/works/OL151947W,"Ramona Quimby, Age 8 (1981) is a novel by Beverly Cleary in the Ramona series. Ramona Quimby is in the third grade, now at a new school, and making some new friends. With Beezus in Jr. High and Mr. Quimby going back to college, Ramona feels the pressure with everyone counting on her to manage at school by herself and get along with Willa Jean after school every day. Ramona Quimby, Age 8 was named a Newbery Honor book in 1982.


----------
Also contained in:
[Unstoppable Ramona and Beezus](https://openlibrary.org/works/OL151945W)","Ramona Quimby, Age 8 (Ramona, #6)",Beverly Cleary,Follow Ramona Quimby's adventures as an 8-year-old navigating a new school and making new friends while dealing with family changes. The story touches on the pressures of school and learning to get along with others.,"friendship, family, adjusting to change",heartwarming,8-10,False
"Shiloh (Shiloh, #1)",Phyllis Reynolds Naylor,https://www.goodreads.com/book/show/207153.Shiloh,Shiloh,Phyllis Reynolds Naylor,https://covers.openlibrary.org/b/id/10275959-L.jpg,https://openlibrary.org/works/OL13489W,"When Marty Preston comes across a young beagle in the hills behind his home, it's love at first sight—and also big trouble. It turns out the dog, which Marty names Shiloh, belongs to Judd Travers, who drinks too much and has a gun—and abuses his dogs. So when Shiloh runs away from Judd to Marty, Marty just has to hide him and protect him from Judd. But Marty's secret becomes too big for him to keep to himself, and it exposes his entire family to Judd's anger. How far will Marty have to go to make Shiloh his?","Shiloh (Shiloh, #1)",Phyllis Reynolds Naylor,"A young boy named Marty finds a beagle named Shiloh and decides to keep him, despite the dog belonging to a troubled man who mistreats his animals. Marty must navigate the challenges of protecting Shiloh while keeping him hidden from his owner.","loyalty, compassion, friendship, bravery",emotional,9-12,False
Don't Let the Pigeon Stay Up Late!,Mo Willems,https://www.goodreads.com/book/show/191117.Don_t_Let_the_Pigeon_Stay_Up_Late_,Don't let the pigeon stay up late!,Mo Willems,https://covers.openlibrary.org/b/id/544914-L.jpg,https://openlibrary.org/works/OL5759999W,"Needing to brush his teeth, a bus driver asks the reader to make sure that the pigeon goes to bed on time--but the bird has many excuses about why it should stay awake.",Don'T Let The Pigeon Stay Up Late!,Mo Willems,"A bus driver asks the reader to make sure a mischievous pigeon goes to bed on time, but the bird comes up with many excuses to stay awake.","bedtime, excuses, responsibility",humorous,3-5,False
